mot;debut;fin;page;position;texte
تقدم;161.240;161.800;4;196;تقدمّ
منها;161.800;161.860;4;197;منها
قبل;161.860;163.340;4;198;قبل
الهجره;163.340;163.880;4;199;الهجرة
هو;163.880;165.340;4;200;هو
المكي;165.340;165.840;4;201;المكي،ّ
وما;165.840;166.249;4;202;وما
تاخر;166.249;166.760;4;203;تأخرّ
بعدها;166.760;167.660;4;204;بعدها
سوره;186.640;187.300;2;69;سورةّ
البقره;187.300;187.840;2;70;البقرةّ
وال;187.840;188.500;2;71;وآلّ
عمران;188.500;191.720;2;72;عمران،ّ
وفي;192.920;196.140;2;73;وفيّ
الرعد;196.540;197.140;2;74;الرعدّّ
اختلاف;197.140;198.288;2;75;اختلاف.ّ
كل;198.288;198.780;2;77;كلّّ
سوره;198.780;199.180;2;78;سورةّ
فيها;199.180;199.558;2;79;فيهاّ
قصه;199.558;199.860;2;80;قصةّّ
ادم;199.860;200.260;2;81;آدمّ
وابليس;200.260;203.900;2;82;وإبليسّ
فهي;203.900;206.540;2;83;فهي
مكيه;209.580;209.800;2;84;مكيةّّّ
سوي;209.800;212.680;2;85;سوىّ
سوره;212.820;213.420;2;86;سورةّ
الحجر;227.500;227.980;4;253;الحجر
باتفاق;227.980;230.540;4;255;باتفاق،
فيها;230.540;232.280;4;259;فيها:
الاول;334.840;335.440;4;250;الأول:ّ
ان;335.440;336.140;4;251;أنّ
سوره;336.140;339.560;4;252;سورة
مكيه;342.820;343.520;4;254;مكيةّ
وقد;343.520;346.180;4;256;وقد
قال;346.180;346.380;4;257;قال
تعالي;346.380;347.580;4;258;تعالى
علي;388.520;388.780;6;154;على
الجن;388.780;389.180;6;155;الجنّ
ليله;389.180;389.660;6;156;ليلة
الجن;389.660;390.420;6;157;الجن،ّ
فكانوا;390.420;391.240;6;158;فكانوا
احسن;391.240;391.640;6;159;أحسن
مردودا;391.640;392.100;6;160;مردودا
منكم;392.100;392.167;6;161;منكم،
كنت;392.167;392.820;6;162;كنت
كلما;410.340;410.660;6;163;كلماّ
اتيت;410.660;411.080;6;164;أتيت
علي;411.080;411.360;6;165;على
قوله;411.360;414.360;6;166;قوله:
فلك;418.360;418.820;6;179;فلك
الحمد;418.820;419.900;6;180;الحمد
فباي;432.900;433.280;6;168;فبأيّ
الا;433.280;433.680;6;169;ءالآء
ربكما;433.680;434.540;6;170;ربكماّ
تكذبان;434.540;436.520;6;171;تكذبانّ
قالوا;436.520;437.560;6;172;قالوا:
لا;442.680;443.060;6;173;لا
بشي;443.060;443.680;6;174;بشيء
من;443.680;443.940;6;175;من
نعمك;443.940;444.420;6;176;نعمك
ربنا;444.420;444.980;6;177;ربناّ
نكذب;444.980;445.929;6;178;نكذب،ّ
قال;445.929;445.980;6;182;قال
السيوطي;445.980;447.420;6;183;السيوطيّ
قبل;535.140;535.920;6;222;قبل
ان;535.920;536.100;6;223;أن
يصدع;536.100;536.660;6;224;يصدع
بما;536.660;536.900;6;225;بما
يومر;536.900;537.440;6;226;يؤمر،
والمشكرون;537.440;537.507;6;227;والمشكرون
يستمعون;537.507;537.560;6;228;يستمعون:
فباي;537.560;538.440;6;230;فبأيّ
مكيه;565.960;566.420;6;249;مكيةّ
ما;566.420;566.880;6;250;ما
رواه;566.880;567.400;6;251;رواه
الترمذي;567.400;570.400;6;252;الترمذي
موصولا;571.760;572.260;6;254;موصولا
عن;572.260;573.820;6;255;عن
ابي;573.820;574.520;6;256;أبي:ّ
ان;574.520;577.240;6;257;أنّ
الرعد;578.180;578.580;6;100;الرعد
سوره;578.580;579.080;6;101;سورة
الرحمن;579.080;579.620;6;102;الرحمن،
المشكرين;579.080;580.220;6;258;المشكرين
فهي;579.620;581.580;6;103;فهي
مكيه;581.580;581.840;6;104;مكيةّّ
عند;581.840;582.127;6;105;عند
الجمهور;582.127;582.700;6;106;الجمهور،
ودليله;582.700;583.360;6;107;ودليله
ما;583.360;584.600;6;108;ما
ان;674.760;677.620;6;328;أنّ
السور;677.620;679.000;6;329;السور
فيها;679.000;679.740;6;331;فيها
هي;679.740;680.380;6;332;هي:
اثنتا;680.380;683.200;6;333;اثنتا
عشره;685.640;686.280;6;334;عشرة
سوره;686.280;689.820;6;335;سورة،
والمعدود;692.480;695.860;6;336;والمعدود
هنا;698.760;701.540;6;337;هنا
احدي;704.820;706.220;6;338;إحدى
عشره;715.720;718.520;6;339;عشرة
سوره;718.760;720.580;6;340;سورة.
والسوره;720.580;721.360;6;341;والسورة
الثانيه;721.360;721.960;6;342;الثانية
عشره;721.960;722.035;6;343;عشرة
هي;722.035;722.080;6;344;هي
سوره;722.080;723.520;6;345;سورة
وفي;2063.620;2065.860;9;83;وفي
الاهتدا;2065.860;2067.800;9;84;الاهتداء
الي;2067.800;2068.900;9;85;إلى
صحيح;2068.900;2069.380;9;86;صحيح
الاحكام;2069.380;2070.380;9;87;الأحكام،
من;2108.220;2108.400;9;100;من
منسوخها;2108.400;2109.220;9;101;منسوخها؛
ولهذا;2109.220;2109.680;9;102;ولهذا
كان;2109.680;2109.980;9;103;كان
سلفنا;2109.980;2110.380;9;104;سلفنا
الصالح;2110.380;2113.640;9;105;الصالح
يعتنون;2114.320;2114.740;9;106;يعتنون
به;2114.740;2117.620;9;107;به،
ويحثون;2119.800;2121.000;9;108;ويحثونّ
علي;2121.000;2121.051;9;109;على
معرفته;2121.051;2121.741;9;110;معرفته.
مر;2127.260;2127.620;9;111;مرّ
علي;2127.620;2128.800;9;112;عليّ
رضي;2128.200;2128.560;9;113;رضي
اهلل;2128.560;2128.760;9;114;اهلل
عنه;2128.760;2131.820;9;115;عنه
علي;2133.180;2133.420;9;116;على
قاص;2133.420;2134.940;9;117;قاصّ
يقص;2145.620;2148.460;9;118;يقصّ
فقال;2148.460;2149.600;9;119;فقال:
هل;2149.600;2150.260;9;120;هل
علمت;2150.260;2150.920;9;121;علمت
الناسخ;2150.920;2153.440;9;122;الناسخّ
والمنسوخ;2153.440;2156.340;9;123;والمنسوخ؟
قال;2158.380;2159.780;9;124;قال:
لا;2159.780;2160.320;9;125;لا،
فقال;2160.320;2164.060;9;126;فقال:
هلكت;2165.800;2167.100;9;128;هلكت
واهلكت;2167.100;2168.280;9;129;وأهلكت
يعني;2183.200;2183.500;9;132;يعني
انه;2183.500;2183.780;9;133;أنه
عرض;2183.780;2184.160;9;134;عرضّ
نفسه;2184.160;2184.660;9;135;نفسه،
وعرض;2184.660;2184.980;9;136;وعرضّ
الناس;2184.980;2185.460;9;137;الناسّ
للهلاك;2185.460;2186.540;9;138;للهلاك،
ما;2186.540;2186.660;9;139;ما
دام;2186.660;2186.720;9;140;دام
انه;2186.720;2187.000;9;141;أنهّ
لا;2187.000;2187.180;9;142;لا
يعرف;2187.180;2188.340;9;143;يعرف
اليه;2218.220;2218.320;9;175;إليه:
اتعرف;2218.320;2218.880;9;176;أتعرف
الناسخ;2218.880;2220.060;9;177;الناسخّ
من;2220.060;2220.720;9;178;من
المنسوخ;2220.720;2221.188;9;179;المنسوخ؟
فقال;2221.188;2221.480;9;180;فقال:
لا;2221.480;2222.000;9;181;لا،
قال;2222.000;2222.048;9;182;قال:
فاخرج;2222.048;2222.720;9;183;فاخرج
فاذا;2232.440;2235.940;9;151;فإذا
رجل;2236.220;2236.560;9;152;رجل
يخوف;2236.560;2237.260;9;153;يخوفّ
الناس;2237.260;2238.140;9;154;الناس،
يذكر;2251.320;2252.280;9;160;يذكرّ
الناس;2252.280;2253.240;9;161;الناس،
فقال;2253.240;2253.620;9;162;فقال:
ليس;2253.620;2254.040;9;163;ليس
برجل;2254.040;2254.580;9;164;برجل
يذكر;2254.580;2254.980;9;165;يذكرّ
الناس;2254.980;2255.560;9;166;الناس،
ولكنه;2255.560;2256.220;9;167;ولكنهّ
يقول;2256.220;2257.180;9;168;يقول:
من;2278.400;2278.600;9;184;من
مسجدنا;2278.600;2279.220;9;185;مسجدنا،
ولا;2279.220;2279.440;9;186;ولا
تذكر;2279.440;2279.980;9;187;تذكرّ
فيه;2279.980;2281.000;9;188;فيه(2).
وجا;2281.000;2281.780;9;189;وجاء
عن;2281.780;2282.029;9;190;عن
ابن;2282.029;2282.360;9;191;ابن
عباس;2282.360;2283.580;9;192;عباس
الحكمه;2340.780;2341.520;9;198;الحكمة
في;2341.520;2341.565;9;199;في
قوله;2341.565;2341.640;9;200;قوله
تعالي;2341.640;2342.320;9;201;تعالى:
ومن;2342.320;2342.700;9;203;ومن
يوت;2342.700;2343.060;9;204;يؤت
الحكمه;2343.060;2343.600;9;205;الحكمة
فقد;2343.600;2344.000;9;206;فقد
اوتي;2344.000;2344.440;9;207;أوتي
خيرا;2344.440;2344.940;9;208;خيرا
كثيرا;2344.940;2346.100;9;209;كثيرا
بمعرفه;2351.420;2352.260;9;211;بمعرفة
القران;2352.260;2352.880;9;212;القرآن،
ناسخه;2352.880;2353.780;9;213;ناسخه
ومنسوخه;2353.780;2354.900;9;214;ومنسوخه،
ومحكمه;2354.900;2355.500;9;215;ومحكمه
ومتشابهه;2355.500;2356.320;9;216;ومتشابهه،
ومقدمه;2356.320;2357.520;9;217;ومقدمهّ
وموخره;2357.520;2358.180;9;218;ومؤخره،ّ
وحلاله;2358.180;2358.780;9;219;وحلاله
وحرامه;2358.780;2359.320;9;220;وحرامه،
وامثاله;2359.320;2360.500;9;221;وأمثاله(3).
وقال;2382.080;2382.520;9;222;وقال
الشافعي;2382.520;2383.040;9;223;الشافعيّ
رحمه;2383.040;2383.580;9;224;رحمه
اهلل;2383.580;2383.760;9;225;اهلل
تعالي;2383.760;2385.020;9;226;تعالى:«
ومدنيه;2423.520;2424.460;9;247;ومدنيه،ّ
وما;2424.460;2424.760;9;248;وما
اريد;2424.760;2425.120;9;249;أريد
به;2425.120;2426.520;9;250;به،
وفيما;2436.200;2436.740;9;251;وفيما
انزل;2436.740;2436.815;9;252;أنزل،
ثم;2436.815;2436.860;9;253;ثم
يكون;2436.860;2437.220;9;254;يكون
بعد;2437.220;2437.500;9;255;بعد
ذلك;2437.500;2437.860;9;256;ذلك
بصيرا;2437.860;2438.400;9;257;بصيرا
بحديث;2438.400;2438.920;9;258;بحديث
رسول;2438.920;2439.340;9;259;رسول
اهلل;2439.340;2439.540;9;260;اهلل
اكثم;2485.960;2486.580;10;3;أكثم:
ليس;2486.580;2486.960;10;4;«ليس
من;2486.960;2487.120;10;5;من
العلوم;2487.120;2487.500;10;6;العلوم
كلها;2487.500;2488.020;10;7;كلهاّ
علم;2488.020;2488.360;10;8;علم
هو;2488.360;2488.600;10;9;هو
اوجب;2488.600;2489.000;10;10;أوجب
علي;2489.000;2489.840;10;11;على
وعلي;2498.680;2499.000;10;13;وعلى
المتعلمين;2499.000;2499.700;10;14;المتعلمينّ
وكافه;2499.700;2500.280;10;15;وكافةّ
المسلمين;2500.280;2501.860;10;16;المسلمين
من;2501.860;2502.100;10;17;من
علم;2502.100;2502.420;10;18;علم
ناسخ;2502.420;2502.880;10;19;ناسخ
القران;2502.880;2503.320;10;20;القرآن
ومنسوخه;2503.320;2506.680;10;21;ومنسوخه؛
لان;2508.970;2509.420;10;22;لأنّ
الاخذ;2509.420;2509.780;10;23;الأخذ
بناسخه;2509.780;2512.920;10;24;بناسخه
واجب;2513.760;2514.480;10;25;واجب
فرضا;2514.480;2517.600;10;26;فرضا،
والعلم;2517.820;2518.260;10;27;والعلم
به;2518.260;2518.540;10;28;به
لازم;2518.540;2519.140;10;29;لازم
ديانه;2519.140;2522.280;10;30;ديانة،
والمنسوخ;2524.280;2525.000;10;31;والمنسوخ
لا;2525.000;2525.160;10;32;لا
يعمل;2525.160;2525.580;10;33;يعمل
به;2525.580;2527.560;10;34;به،
ولا;2527.560;2528.120;10;35;ولا
ينتهي;2528.120;2531.140;10;36;ينتهى
اليه;2531.520;2532.120;10;37;إليه،
فالواجب;2532.120;2532.720;10;38;فالواجب
علي;2532.720;2532.960;10;39;على
كل;2532.960;2533.160;10;40;كل
عالم;2533.160;2533.220;10;41;عالم
علم;2533.220;2534.280;10;42;علم
امرا;2555.440;2555.760;10;52;أمرا
لم;2555.760;2556.020;10;53;لم
يوجبه;2556.020;2556.440;10;54;يوجبه
اهلل;2556.440;2556.680;10;55;اهلل
عز;2556.680;2557.140;10;56;عز
وجل;2557.140;2558.020;10;57;وجل،
منصور;2593.520;2594.060;10;68;منصور
البغدادي;2594.060;2596.080;10;69;البغداديّ
عن;2596.080;2598.760;10;70;عن
احمد;2598.820;2599.140;10;71;أحمد
واسحاق;2599.140;2602.180;10;72;وإسحاق
انما;2602.800;2603.180;10;73;أنماّّ
قالا;2603.180;2604.280;10;74;قالا:
من;2604.280;2604.860;10;75;«من
لم;2604.860;2605.060;10;76;لم
يعرف;2605.060;2605.400;10;77;يعرف
الصحيح;2605.400;2606.040;10;78;الصحيح
والسقيم;2606.040;2606.640;10;79;والسقيم
من;2606.640;2606.800;10;80;من
الحديث;2606.800;2607.960;10;81;الحديث،
والناسخ;2613.620;2614.740;10;82;والناسخّ
والمنسوخ;2614.740;2615.380;10;83;والمنسوخ
