mot;debut;fin;page;position;texte
ان;0.000;0.260;1;2;إنّّ
الحمد;0.260;0.760;1;3;الحمدّ
لهل;0.760;1.200;1;4;لهلّ
نحمده;1.200;2.040;1;5;نحمدهّ
ونستعينه;2.040;3.080;1;6;ونستعينه،ّ
ونستغفره;3.080;4.880;1;7;ونستغفره،ّ
ونعوذ;4.880;5.360;1;8;ونعوذّ
بالهل;5.360;5.780;1;9;بالهلّ
من;5.780;5.980;1;10;منّ
شرور;5.980;6.400;1;11;شرورّ
انفسنا;6.400;7.080;1;12;أنفسنا،ّ
ومن;7.080;7.140;1;13;ومنّ
سييات;7.140;8.100;1;14;سيئاتّ
اعمالنا;8.100;9.540;1;15;أعمالنا،
من;9.540;9.980;1;16;منّّ
يهده;9.980;10.320;1;17;يهدهّ
اهلل;10.320;10.700;1;18;اهللّ
فلا;10.700;11.140;1;19;فلاّ
مضل;11.140;11.560;1;20;مضلّ
له;11.560;12.620;1;21;له،ّ
ومن;12.620;13.060;1;22;ومنّ
يضلل;13.060;13.500;1;23;يضللّ
فلا;13.500;14.140;1;24;فلاّ
هادي;14.140;14.660;1;25;هاديّ
له;14.660;15.680;1;26;له،ّ
واشهد;15.680;16.240;1;27;وأشهدّ
ان;16.240;16.430;1;28;أن
لا;16.430;16.620;1;29;لاّّ
اله;16.620;17.560;1;30;إلهّ
الا;17.560;17.940;1;31;إلاّ
اهلل;17.940;18.340;1;32;اهللّ
وحده;18.340;18.900;1;33;وحده
لا;18.900;19.200;1;34;لاّّ
شريك;19.200;19.800;1;35;شريكّ
له;19.800;22.640;1;36;له،ّ
واشهد;20.840;21.380;1;37;وأشهدّ
ان;21.380;21.700;1;38;أنّ
سيدنا;21.700;22.580;1;39;سيدناّ
محمدا;22.580;23.280;1;40;محمداّ
عبده;23.280;23.960;1;41;عبدهّ
ورسوله;23.960;25.340;1;42;ورسولهّ
صلي;25.340;25.780;1;43;صلىّ
اهلل;25.780;26.660;1;44;اهللّ
عليه;26.060;26.480;1;45;عليهّ
وسلم;26.480;27.180;1;46;وسلم،ّ
وعلي;27.180;27.900;1;47;وعلىّ
اله;27.900;28.360;1;48;آلهّ
وصحبه;28.360;29.300;1;49;وصحبه،ّ
ومن;29.300;29.740;1;50;ومنّ
اهتدي;29.740;30.360;1;51;اهتدىّ
بهديه;30.360;31.440;1;52;بهديهّ
الي;31.440;31.600;1;53;إلىّ
يوم;31.600;32.460;1;54;يومّ
الدين;31.860;32.300;1;55;الدين.ّ
اما;32.300;32.600;1;56;أماّّ
بعد;32.600;33.480;1;57;بعد:ّ
بنزوله;87.690;88.320;1;64;بنزولهّ
فان;232.560;233.620;1;58;فإن
من;233.620;233.840;1;59;منّّ
انواع;233.840;234.360;1;60;أنواعّ
علوم;234.360;234.680;1;61;علومّ
القران;234.680;235.260;1;62;القرآنّ
المتعلقه;235.260;236.740;1;63;المتعلقةّ
المكي;268.680;269.240;1;65;المكيّ
والمدني;269.240;272.600;1;66;والمدني،ّ
وهو;273.040;274.560;1;67;وهوّ
نوع;274.560;274.920;1;68;نوع
مهم;274.920;275.420;1;69;مهمّّ
عظيم;275.420;276.220;1;70;عظيمّ
الفايده;276.220;278.340;1;71;الفائدةّ
في;288.280;288.780;1;72;في
معرفه;288.780;289.360;1;73;معرفةّّ
تاريخ;289.360;289.880;1;74;تاريخّ
التشريع;289.880;290.420;1;75;التشريعّ
الاسلامي;290.420;291.800;1;76;الإسلامي،ّّ
ولا;357.080;357.760;1;79;ولاّ
يستغني;357.760;358.360;1;80;يستغنيّ
عنه;358.360;358.760;1;81;عنهّ
المفسر;358.760;360.120;1;82;المفسر،ّ
والمتصدي;379.780;381.100;1;83;والمتصديّ
لاستنباط;381.100;381.860;1;84;لاستنباطّ
الاحكام;381.860;382.700;1;85;الأحكامّ
من;382.700;382.920;1;86;منّ
القران;382.920;383.520;1;87;القرآنّ
الكريم;383.520;384.700;1;88;الكريم.ّ
قال;402.000;403.580;1;89;قالّّّّّّّّّ
النحاس;403.580;404.080;1;90;النحاسّ
رحمه;404.080;404.620;1;91;رحمهّّ
اهلل;404.620;404.840;1;92;اهللّ
تعالي;404.840;406.420;1;93;تعالى:ّ
وانما;422.100;423.340;1;94;وإنماّ
يذكر;423.340;424.040;1;95;يذكرّ
ما;424.040;424.100;1;96;ماّ
نزل;424.100;425.420;1;97;نزلّ
والمدينه;425.420;426.480;1;99;والمدينة؛
لان;426.480;428.860;1;100;لأنّّ
والمنسوخ;430.140;430.200;1;106;والمنسوخ؛
بمكه;442.160;443.580;1;98;بمكةّ
اعظم;443.580;444.400;1;102;أعظمّ
الفايده;444.400;444.880;1;103;الفائدةّ
في;444.880;445.180;1;104;فيّ
الناسخ;445.180;446.120;1;105;الناسخّ
فيه;459.980;460.620;1;101;فيهّ
لان;460.620;461.480;1;107;لأنّّ
الايه;461.480;462.080;1;108;الآيةّ
اذا;462.080;462.500;1;109;إذا
كانت;462.500;462.980;1;110;كانتّّ
مكيه;462.980;463.560;1;111;مكية،ّ
وكان;463.560;464.720;1;112;وكانّ
فيها;464.720;465.480;1;113;فيهاّ
علم;516.320;518.620;1;123;علمّ
ان;518.620;518.800;1;124;أنّ
المدنيه;518.800;519.620;1;125;المدنيةّ
نسخت;519.620;520.280;1;126;نسختّ
المكيه;520.280;521.280;1;127;المكية.(1)
وينبغي;575.280;575.880;1;130;وينبغيّ
له;575.880;576.900;1;131;لهّ
لقاري;576.900;577.340;1;133;لقارئّ
القران;577.340;578.520;1;134;القرآن-ّ
ان;592.360;592.980;1;135;أنّ
يعرف;592.980;593.300;1;136;يعرفّ
المكي;593.300;593.820;1;137;المكيّّ
والمدني;593.820;597.140;1;138;والمدني،ّ
ليفرق;600.220;600.940;1;139;ليفرقّّ
بذلك;600.940;603.600;1;140;بذلكّ
بين;603.600;604.440;1;141;بين
ما;604.440;604.500;1;142;ماّّ
خاطب;604.500;607.440;1;143;خاطبّ
اهلل;604.880;605.120;1;144;اهللّ
به;605.120;605.520;1;145;بهّ
عباده;605.520;606.040;1;146;عبادهّ
في;606.040;606.280;1;147;فيّ
اول;606.280;606.540;1;148;أولّّ
الاسلام;606.540;607.900;1;149;الإسلام،ّ
اليه;607.900;608.900;1;152;إليهّ
وما;612.100;613.240;1;150;وماّ
ندبهم;613.240;616.240;1;151;ندبهمّّّّ
في;617.600;617.840;1;153;فيّ
اخر;617.840;618.180;1;154;آخرّ
الاسلام;618.180;619.160;1;155;الإسلام،ّ
اهلل;720.500;720.660;1;158;اهللّ
في;720.660;720.900;1;159;في
اول;720.900;723.780;1;160;أولّّّ
الاسلام;721.280;724.460;1;161;الإسلام،ّ
للمكي;724.100;725.020;1;172;للمكيّّّ
وما;726.220;726.920;1;162;وماّ
زاد;726.920;727.300;1;163;زادّ
عليه;727.300;727.780;1;164;عليه
من;727.780;727.820;1;165;منّّ
الفرايض;727.820;730.480;1;166;الفرائضّ
في;730.480;733.160;1;167;فيّ
اخره;733.160;736.440;1;168;آخره،ّ
فالمدني;739.340;739.860;1;169;فالمدنيّ
هو;739.860;740.140;1;170;هوّ
الناسخ;740.140;741.140;1;171;الناسخّ
المكي;772.720;773.840;1;180;المكيّّ
المدني;773.840;774.200;1;181;المدني؛ّ
لان;774.200;774.580;1;182;لأنّّ
المنسوخ;774.580;775.200;1;183;المنسوخ
هو;775.200;775.260;1;184;هوّّ
المتقدم;775.260;776.000;1;185;المتقدمّّ
في;776.000;776.180;1;186;فيّ
النزول;776.180;777.580;1;187;النزولّّ
قبل;777.580;778.520;1;188;قبلّ
السور;893.040;893.400;2;5;السورّ
والسور;893.400;894.600;2;7;والسورّ
واستنبطوا;894.600;896.840;2;9;واستنبطواّ
ضوابط;896.840;897.900;2;10;ضوابطّ
قياسيه;897.900;899.080;2;11;قياسيةّ
لكل;905.420;905.740;2;12;لكل
من;905.740;906.000;2;13;منّّ
المكي;906.000;906.520;2;14;المكيّ
والمدني;906.520;907.260;2;15;والمدني،ّ
وهي;907.260;910.520;2;16;وهي:ّ
يا;910.520;911.320;2;21;ياّ
فيها;945.780;946.300;2;20;فيهاّ
ايها;946.300;946.640;2;22;أيها
الناس;946.640;947.120;2;23;الناس،ّّ
وليس;947.120;948.320;2;24;وليسّ
فيها;972.860;973.340;2;91;فيهاّ
سجده;973.340;973.620;2;92;سجدةّ
مكيه;973.620;976.300;2;94;مكية.ّّّ
الذين;976.300;976.860;2;102;الذينّ
فهي;976.860;976.980;2;105;فهي
كل;976.980;977.520;2;108;كلّّ
سوره;977.520;978.680;2;109;سورةّ
فيها;977.720;980.640;2;40;فيها
كل;979.820;981.400;2;38;كلّّ
سوره;981.400;982.440;2;39;سورةّ
فهي;982.440;983.260;2;42;فهي
مكيه;983.260;983.740;2;43;مكية.ّّّّ
ولم;983.740;984.820;2;44;ولمّ
ترد;987.560;988.040;2;45;تردّ
الا;988.040;988.300;2;46;إلاّ
في;988.300;988.480;2;47;فيّ
النصف;988.480;988.880;2;48;النصفّ
الاخير;988.880;989.260;2;49;الأخير
من;989.260;989.420;2;50;منّّ
القران;989.420;990.540;2;51;القرآن،ّ
وذكرت;997.640;998.440;2;52;وذكرتّ
ثلاثا;998.440;998.860;2;53;ثلاثاّ
وثلاثين;998.860;999.460;2;54;وثلاثينّ
مره;999.460;1002.280;2;55;مرةّّّّّّ
في;1003.060;1003.500;2;56;فيّ
خمس;1003.500;1003.920;2;57;خمسّ
عشره;1003.920;1006.820;2;58;عشرةّ
سوره;1007.020;1008.040;2;59;سورة.
سوره;1311.320;1311.900;2;62;سورةّ
اولها;1311.900;1313.200;2;63;أولهاّّ
حروف;1351.740;1352.860;2;64;حروفّ
المعجم;1352.860;1353.460;2;65;المعجمّ
فهي;1353.460;1354.186;2;66;فهيّ
مكيه;1354.186;1355.094;2;67;مكيةّّ
سوي;1355.094;1355.820;2;68;سوىّ
سوره;1355.820;1356.320;2;69;سورةّ
البقره;1356.320;1356.900;2;70;البقرةّ
وال;1356.900;1357.360;2;71;وآلّ
عمران;1357.360;1358.580;2;72;عمران،ّ
كل;1383.760;1384.360;2;77;كلّّ
سوره;1384.360;1384.900;2;78;سورةّ
فيها;1384.900;1385.280;2;79;فيهاّ
قصه;1385.280;1385.700;2;80;قصةّّ
ادم;1385.700;1386.840;2;81;آدمّ
سوي;1394.860;1395.360;2;85;سوىّ
سوره;1395.360;1395.720;2;86;سورةّ
البقره;1395.720;1396.200;2;87;البقرة.ّ
كل;1396.200;1396.380;2;89;كلّّ
سوره;1396.380;1398.800;2;90;سورةّ
فهي;1398.800;1399.540;2;93;فهي
كل;1411.500;1412.220;2;18;كلّ
سوره;1412.220;1412.780;2;19;سورةّ
فيها;1412.780;1414.700;2;25;فيها
فهي;1414.700;1414.960;2;32;فهي
مكيه;1414.960;1416.320;2;33;مكية،ّّ
يا;1455.180;1455.820;2;27;ياّ
ايها;1455.820;1456.040;2;28;أيهاّ
الذين;1456.040;1456.640;2;29;الذينّ
امنوا;1456.640;1456.900;2;30;آمنوا
وفي;1456.900;1457.060;2;34;وفيّّ
الحج;1457.060;1457.120;2;35;الحجّّ
اختلاف;1457.120;1457.460;2;36;اختلاف.ّ
كلا;1457.460;1458.640;2;41;"""كلا""ّّّّ"
فيها;1486.980;1487.380;2;110;فيهاّ
ذكر;1487.380;1487.700;2;111;ذكرّ
المنافقين;1487.700;1488.560;2;112;المنافقينّ
فهي;1488.560;1488.900;2;113;فهيّ
مدنيه;1488.900;1492.100;2;114;مدنية،ّ
سوي;1495.220;1496.260;2;115;سوىّّ
مدنيه;1611.660;1612.300;2;125;مدنية،ّ
وما;1612.300;1613.000;2;126;وماّّ
كان;1613.000;1613.220;2;127;كانّ
فيه;1613.220;1613.660;2;128;فيهّ
ذكر;1613.660;1613.880;2;129;ذكر
الامم;1613.880;1614.380;2;130;الأممّّ
الخاليه;1614.380;1614.960;2;131;الخالية،
والقرون;1614.960;1616.180;2;132;والقرونّّ
