  page 1: affichée de 0.0s à 886.4s
  page 2: affichée de 886.4s à 1779.8s
  page 3: affichée de 1779.8s à 2588.2s
  page 4: affichée de 2588.2s à 3223.3s
  page 6: affichée de 3223.3s à 4819.3s
surligneur : 410 événements (mot) -> /home/z/my-project/download/video-recitation/travail_darsi/dars1/surlignage.ass
rendu ffmpeg -> /home/z/my-project/download/video-recitation/sortie/dars1.mp4
frame=   10 fps=0.0 q=25.0 size=       0KiB time=00:00:00.32 bitrate=   1.2kbits/s speed=0.618x    
frame=   60 fps= 59 q=25.0 size=       0KiB time=00:00:02.32 bitrate=   0.2kbits/s speed=2.27x    
frame=  106 fps= 70 q=25.0 size=       0KiB time=00:00:04.16 bitrate=   0.1kbits/s speed=2.73x    
frame=  151 fps= 75 q=25.0 size=       0KiB time=00:00:05.96 bitrate=   0.1kbits/s speed=2.95x    
frame=  199 fps= 79 q=25.0 size=       0KiB time=00:00:07.88 bitrate=   0.0kbits/s speed=3.13x    
frame=  248 fps= 82 q=25.0 size=     256KiB time=00:00:09.84 bitrate= 213.2kbits/s speed=3.26x    
frame=  293 fps= 83 q=25.0 size=     256KiB time=00:00:11.64 bitrate= 180.2kbits/s speed=3.31x    
frame=  339 fps= 84 q=25.0 size=     256KiB time=00:00:13.48 bitrate= 155.6kbits/s speed=3.35x    
frame= 2431 fps= 93 q=25.0 size=    2560KiB time=00:01:37.16 bitrate= 215.8kbits/s speed=3.73x    
frame= 2474 fps= 93 q=25.0 size=    2560KiB time=00:01:38.88 bitrate= 212.1kbits/s speed=3.72x    
frame= 2518 fps= 93 q=25.0 size=    2816KiB time=00:01:40.64 bitrate= 229.2kbits/s speed=3.72x    
frame= 2566 fps= 93 q=25.0 size=    2816KiB time=00:01:42.56 bitrate= 224.9kbits/s speed=3.72x    
frame= 2606 fps= 93 q=25.0 size=    2816KiB time=00:01:44.16 bitrate= 221.5kbits/s speed=3.71x    
frame= 2650 fps= 93 q=25.0 size=    2816KiB time=00:01:45.92 bitrate= 217.8kbits/s speed=3.71x    
frame= 2696 fps= 93 q=25.0 size=    2816KiB time=00:01:47.76 bitrate= 214.1kbits/s speed=3.71x    
frame= 2746 fps= 93 q=25.0 size=    2816KiB time=00:01:49.76 bitrate= 210.2kbits/s speed=3.71x    
frame= 2789 fps= 93 q=25.0 size=    3072KiB time=00:01:51.48 bitrate= 225.7kbits/s speed=3.71x    
frame= 2835 fps= 93 q=25.0 size=    3072KiB time=00:01:53.40 bitrate= 221.9kbits/s speed=3.71x    
frame= 2879 fps= 93 q=25.0 size=    3072KiB time=00:01:55.08 bitrate= 218.7kbits/s speed= 3.7x    
frame= 2915 fps= 92 q=25.0 size=    3072KiB time=00:01:56.52 bitrate= 216.0kbits/s speed=3.69x    
frame= 2950 fps= 92 q=25.0 size=    3072KiB time=00:01:57.92 bitrate= 213.4kbits/s speed=3.68x    
frame= 2987 fps= 92 q=25.0 size=    3072KiB time=00:01:59.40 bitrate= 210.8kbits/s speed=3.67x    
frame= 3019 fps= 91 q=25.0 size=    3328KiB time=00:02:00.68 bitrate= 225.9kbits/s speed=3.65x    
frame= 3056 fps= 91 q=25.0 size=    3328KiB time=00:02:02.16 bitrate= 223.2kbits/s speed=3.64x    
frame= 3097 fps= 91 q=25.0 size=    3328KiB time=00:02:03.80 bitrate= 220.2kbits/s speed=3.63x    
frame= 3144 fps= 91 q=25.0 size=    3328KiB time=00:02:05.68 bitrate= 216.9kbits/s speed=3.63x    
frame= 3195 fps= 91 q=25.0 size=    3328KiB time=00:02:07.72 bitrate= 213.5kbits/s speed=3.64x    
frame= 3244 fps= 91 q=25.0 size=    3584KiB time=00:02:09.68 bitrate= 226.4kbits/s speed=3.64x    
frame= 3287 fps= 91 q=25.0 size=    3584KiB time=00:02:11.44 bitrate= 223.4kbits/s speed=3.64x    
frame= 3331 fps= 91 q=25.0 size=    3584KiB time=00:02:13.16 bitrate= 220.5kbits/s speed=3.64x    
frame= 3380 fps= 91 q=25.0 size=    3584KiB time=00:02:15.16 bitrate= 217.2kbits/s speed=3.65x    
frame= 3428 fps= 91 q=25.0 size=    3840KiB time=00:02:17.04 bitrate= 229.6kbits/s speed=3.65x    
frame= 3464 fps= 91 q=25.0 size=    3840KiB time=00:02:18.48 bitrate= 227.2kbits/s speed=3.64x    
frame= 3505 fps= 91 q=25.0 size=    3840KiB time=00:02:20.12 bitrate= 224.5kbits/s speed=3.63x    
frame= 3553 fps= 91 q=25.0 size=    3840KiB time=00:02:22.04 bitrate= 221.5kbits/s speed=3.63x    
frame= 3599 fps= 91 q=25.0 size=    3840KiB time=00:02:23.88 bitrate= 218.6kbits/s speed=3.63x    
frame= 3647 fps= 91 q=25.0 size=    4096KiB time=00:02:25.80 bitrate= 230.1kbits/s speed=3.64x    
frame= 3696 fps= 91 q=25.0 size=    4096KiB time=00:02:27.76 bitrate= 227.1kbits/s speed=3.64x    
