mot;debut;fin;page;position;texte
ورسوله;2750.200;2750.660;1;42;ورسولهّ
صلي;2750.660;2750.920;1;43;صلىّ
اهلل;2750.920;2751.060;1;44;اهللّ
عليه;2751.060;2751.200;1;45;عليهّ
وسلم;2751.200;2752.320;1;46;وسلم،ّ
والعلم;223.380;224.560;10;27;والعلم
به;224.560;225.220;10;28;به
لازم;225.220;227.900;10;29;لازم
ديانه;228.660;229.680;10;30;ديانة،
رضي;25.720;26.220;14;1;رضي
اهلل;26.220;26.500;14;2;اهلل
عنه;26.500;27.020;14;3;عنه:
قد;27.020;28.160;14;5;قد
اكثر;28.160;28.900;14;6;أكثر
النا;28.900;29.200;14;7;الناّ
في;29.200;30.060;14;8;في
المنسوخ;29.460;30.200;14;9;المنسوخ
من;30.200;30.500;14;10;من
عدد;30.500;31.140;14;11;عدد
وادخلوا;31.140;32.880;14;12;وأدخلوا
فيه;32.880;33.340;14;13;فيه
يا;33.340;34.040;14;14;يا
ليث;34.040;34.460;14;15;ليث
تن;34.460;35.070;14;16;تن
صر;35.070;35.680;14;17;صر
وهاخ;35.680;36.740;14;19;وهاخ
تحرير;36.740;37.420;14;20;تحرير
ي;37.420;38.120;14;21;ي
لا;38.120;38.440;14;22;لا
مزيد;38.440;38.840;14;23;مزيد
لها;38.840;40.020;14;24;لها
عشرين;40.020;40.880;14;25;عشرين
حررها;40.880;41.620;14;26;حررهاّ
الحذاق;41.620;42.640;14;27;الحذاقّ
والكر;42.640;43.560;14;28;والكر
ي;43.560;44.560;14;30;ي
التوجه;44.560;45.500;14;31;التوجهّ
حيث;45.500;45.980;14;32;حيث
المر;45.980;46.440;14;33;المرء
كان;46.440;46.820;14;34;كان
وان;46.820;48.040;14;35;وأن
يوصي;48.040;48.780;14;36;يوصي
لاهليه;48.780;51.340;14;37;لأهليه
عند;726.520;727.180;14;38;عند
الموت;727.180;729.400;14;39;الموت
محتضر;729.400;730.560;14;40;محتضر.
قوله;51.340;52.071;14;41;قوله:
ي;1037.440;1038.780;14;43;ي
التوجه;1038.780;1038.940;14;44;التوجه)ّ
يشير;1038.940;1039.660;14;45;يشير
الي;1039.660;1040.080;14;46;إلى
ان;1040.080;1040.300;14;47;أن
قوله;1040.300;1040.740;14;48;قوله
تعالي;1040.740;1041.500;14;49;تعالى:
فنينما;1041.500;1042.600;14;50;فنينما
تولوا;1042.600;1043.180;14;51;تولوا
فثم;1043.180;1043.231;14;52;فثم
وجه;1043.231;1043.283;14;53;وجه
الايه;1043.283;1043.360;14;55;الآية
البقره;1043.360;1044.860;14;56;511البقرة
منسوخه;1044.860;1045.300;14;57;منسوخة
علي;1045.300;1046.040;14;58;على
راي;1047.600;1047.840;14;59;رأي
ابن;1046.040;1046.100;14;60;ابن
عباس;1046.100;1047.320;14;61;عباس
بقوله;1047.840;1048.400;14;62;بقوله
تعالي;1048.400;1049.060;14;63;تعالى:
فول;1049.060;1049.400;14;64;فولّ
وجهك;1049.400;1050.040;14;65;وجهك
طر;1050.040;1050.140;14;66;طر
المسجد;1050.140;1050.660;14;67;المسجد
الحرا;1050.660;1051.140;14;68;الحرا
الايه;1051.140;1053.097;14;70;الآية
البقره;1053.097;1055.380;14;72;البقرة.
وقوله;1055.380;1056.360;14;74;وقوله:
وان;1056.360;1056.580;14;76;وأن
يوصي;1056.580;1056.960;14;77;يوصى
لاهليه;1056.960;1058.120;14;78;لأهليه)
اشار;1171.060;1172.380;14;79;أشار
به;746.599;746.646;14;80;به
الي;1172.380;1172.760;14;81;إلى
ان;1172.760;1173.000;14;82;أنّ
ايه;1173.000;1173.500;14;83;آية
كت;1173.500;1173.960;14;85;كت
عليكم;1173.960;1174.940;14;86;عليكم
اذا;1174.940;1176.220;14;87;إذا
حضر;1060.100;1060.480;14;88;حضر
احدكم;1060.480;1061.240;14;89;أحدكم
الموت;749.140;750.140;14;90;الموت
ان;1061.240;1062.000;14;91;إن
ترخ;750.140;750.720;14;92;ترخ
خيرا;1062.000;1062.440;14;93;خيرا
الوصيه;750.720;751.480;14;94;الوصيةّ
الايه;751.480;751.537;14;95;الآية
البقره;751.537;752.203;14;97;البقرة
منسوخه;1062.440;1063.140;14;98;منسوخة،
قيل;1065.380;1065.760;14;99;قيل:
بايه;1065.760;1066.120;14;100;بآية
المواريث;1066.120;1068.540;14;101;المواريث،
وقيل;1068.540;1069.700;14;102;وقيل:
بحديث;1069.700;1070.160;14;103;بحديث
لا;1070.160;1070.340;14;105;لا
وصيه;1070.340;1070.840;14;106;وصية
لوارث;1070.840;1072.400;14;107;لوارث).
وقيل;1072.400;1072.720;14;108;وقيل
بالاجماع;1072.720;1072.780;14;109;بالإجماع
حكاه;1072.780;1073.660;14;110;حكاه
كان;902.860;903.540;14;235;كان
المال;903.540;904.020;14;236;المال
للولد;904.020;904.720;14;237;للولد
وكانت;904.720;905.380;14;238;وكانت
الوصيه;905.380;905.900;14;239;الوصيةّ
للوالدين;905.900;907.020;14;240;للوالدين
فنسخ;907.020;907.940;14;241;فنسخ
اهلل;907.940;908.320;14;242;اهلل
من;908.320;908.480;14;243;من
ذلك;908.480;909.320;14;244;ذلك
للذكر;924.520;924.940;14;248;للذكرّ
مثل;924.940;925.200;14;249;مثل
حظ;925.200;928.360;14;250;حظّ
الانثيين;931.820;934.960;14;251;الأنثيين،ّ
وجعل;938.140;938.420;14;252;وجعل
للابوين;938.420;941.080;14;253;للأبوين
لكل;939.820;939.920;14;254;لكلّ
واحد;939.920;940.240;14;255;واحد
منهما;940.240;940.620;14;256;منهما
السدس;940.620;941.080;14;257;السدسّ
واختلف;941.080;941.680;14;259;واختلف
في;941.680;941.940;14;260;في
تعيين;941.940;942.614;14;261;تعيين
الناسخ;942.614;945.900;14;262;الناسخ،ّ
فقيل;941.080;941.680;14;263;فقيل:
هي;941.680;942.540;14;264;هي
منسوخه;947.800;950.400;14;265;منسوخة
بايه;952.160;953.000;14;266;بآية
الفرايض;953.000;954.340;14;267;الفرائض،
وقيل;954.340;955.320;14;268;وقيل
انا;2332.240;2332.880;14;280;أناّّ
منسوخه;2332.880;2333.460;14;281;منسوخة
بايه;2333.460;2334.500;14;282;بآية
المواريث;2334.500;2334.560;14;283;المواريث،
وان;2334.560;2335.660;14;284;وأنّ
الحديث;2335.660;2336.094;14;285;الحديث
دل;2336.094;2336.280;14;286;دلّ
علي;2336.280;2336.580;14;287;على
ذلك;2336.580;2337.080;14;288;ذلك،
والاجماع;2337.080;2338.080;14;289;والإجماع
الناسخ;1083.540;1086.520;14;293;الناسخّ
دليله;1088.180;1088.620;14;294;دليله.
وحرمه;1088.620;1090.060;15;1;وحرمة
الاكل;1090.060;1090.680;15;2;الأكل
بعد;1090.680;1091.000;15;3;بعد
النو;1091.000;1091.580;15;4;النوّ
مع;1091.580;1091.920;15;5;مع
رفث;1091.920;1093.000;15;6;رفث
وفديه;1093.000;1094.640;15;7;وفدية
لمطيق;1094.640;1095.180;15;8;لمطيق
الصو;1095.180;1095.940;15;9;الصو
مشتهر;1095.940;1099.600;15;10;مشتهر.
قوله;1100.860;1102.900;15;11;قوله:
وحرمه;1102.900;1103.940;15;13;وحرمة
الاكل;1103.940;1105.140;15;14;الأكل
الي;1769.200;1769.440;15;60;إلى
ان;1738.180;1739.980;15;61;أنّ
